,id,subject,text,classificacao,date,retweets,favorites,permalink
35,1.0406361005434304e+18,marielle monkey,"Actually, not a girl. The suspect was a drug dealer ""Thiago Monkey"" if I'm not mistaken. And no person with a political position contrary to Marielle's was indicted as a suspect, so it wasn't a political crime, it was more of a woman who suffered from violence. brazilian",fake,2018-09-14 13:19,0,10,https://twitter.com/truyts_/status/1040636100543430656
37,1.0396485192908554e+18,marielle monkey,"The left is currently defending the guy who almost killed Bolsonaro, well, let us now consider that Tiago Macaco, the man who killed Marielle Franco, is completely innocent of the case :)",fake,2018-09-11 19:54,0,2,https://twitter.com/P3dro85809111/status/1039648519290855425
39,1.0378160200676556e+18,marielle monkey,"What world do you live in? It was Thiago monkey who killed Marielle. But as the murderer is black, you are playing disagreements.",fake,2018-09-06 18:33,0,0,https://twitter.com/caioloxas/status/1037816020067655681
40,1.0370225763615704e+18,marielle monkey,"Wrong! Tiago Macaco was arrested for involvement in the death of the Siciliano employee. It was later reported by the media that he would have participated in Marielle's death and that he would not have been the killer as you said, but responsible for the cloning of Cobalt. Fake News",true,2018-09-04 14:00,0,0,https://twitter.com/mcout_/status/1037022576361570313
42,1.009087299991298e+18,marielle monkey,"There is no Marielle Case ""outside the press. They have already identified the killer. Former inmate Marcelo Macaco. Only the left doesn't accept that he is NOT a blond with blue eyes ...""",fake,2018-06-19 11:55,0,0,https://twitter.com/senorseb/status/1009087299991298048
46,1.0051741920552264e+18,marielle monkey,"Marielle's killer was discovered! It's Thiago Macaco, black, poor and drug dealer #boato http: // www. rumors.org/politica/assas sino-marielle-thiago-monkey.html…",fake,2018-06-08 16:46,0,0,https://twitter.com/vivian_olive/status/1005174192055226368
56,1.004473547933274e+18,marielle monkey,"Contrary to the conclusions of PSOL and Marcelo Freixo pointing to the probable murderer of Marielle as a white man, from the PM and homophobic, here the investigation arrived in Thiago Macaco, who is black, of poor origin and linked to trafficking. The left lies and is silent! #MarielleAusente pic.twitter.com/46kiqR6yPQ",fake,2018-06-06 18:22,1,3,https://twitter.com/DireitaTrends/status/1004473547933274113
60,1.004370122071474e+18,marielle monkey,"Let's talk about Marielle again. MARIELLE VIVE. She was murdered by THIAGO MACACO. He DOES NOT DESERVE PUNISHMENT. Thiago Macaco is a VICTIM OF THE OPPRESSING SOCIETY. Black, poor, racist nickname, with no opportunities in society. #ThiagoMacacoLivre Call @mariadorosario @lucianagenro @ psol50",fake,2018-06-06 11:31,16,39,https://twitter.com/SrtaLawyerBr17/status/1004370122071474178
62,1.004302553016828e+18,marielle monkey,Marielle morta pelo Macaco ... Huhuhahahahaha,fake,2018-06-06 7:02,0,0,https://twitter.com/senorseb/status/1004302553016827904
63,1.0041667653190204e+18,marielle monkey,"Oh man, they're still trying to blame the victim for the cruel death! Playing that Monkey as guilty of Marielle's murder (which has not yet been confirmed) and saying that she was guilty of defending black and ""bandit""! It's easier to do that than admit racism, right?",true,2018-06-05 22:03,0,1,https://twitter.com/misscamafeu/status/1004166765319020546
64,1.0040573857685052e+18,marielle monkey,"Hello fakenews! Thiago Macaco is just one of the suspects of Marielle's death (who was even murdered by a group of people) - among other suspects there is also the Sicilian councilor (PHS), involved with militias, the ex-PM and militia chief Orlando Oliveira , etc.",true,2018-06-05 14:48,0,1,https://twitter.com/princesa_otavio/status/1004057385768505344
67,1.00373285916792e+18,marielle monkey,Marielle's killer is a poor black drug dealer with a nickname of Monkey. And now? where are the leftists? Jean Willis? Sakamoto? Maria do Rosario? Boulos? Manuela? PSOL? Where are the global artists? Gone?,fake,2018-06-04 17:18,2,1,https://twitter.com/tadificil17/status/1003732859167920129
75,1.0025048835792076e+18,marielle monkey,"Arrested suspected of involvement in Marielle's murder. Black, Poor and from the periphery Thiago Macaco "". The defense lawyer must be from PSOL. Pic.twitter.com/rLYxvHS9ph""",fake,2018-06-01 7:59,9,12,https://twitter.com/Eliseu_SS/status/1002504883579207680
77,1.0022421776642496e+18,marielle monkey,"Vixi, now blow the head of the hypocrites on duty! Involved in Marielle's murder is black and called a Monkey! https: // glo.bo/2xt5ZaK pic.twitter.com/UW4MrtJHVG",fake,2018-05-31 14:35,0,0,https://twitter.com/giuseppe_mazzeo/status/1002242177664249856
79,1.0022402579228712e+18,marielle monkey,"What? So you mean that Marielle Presente's killer is a black man and is called a Monkey? Vixi, it will tie the head of hypocrisy! And now? - obs .: Present is her last name? pic.twitter.com/8yW7LeJCY8",fake,2018-05-31 14:27,1,1,https://twitter.com/giuseppe_mazzeo/status/1002240257922871297
80,1.00220777937587e+18,marielle monkey,"Arrest of 'Thiago Macaco' is not related to the Marielle case, says delegate http: // dlvr.it/QVksGm",true,2018-05-31 12:18,0,0,https://twitter.com/jornaltijucas/status/1002207779375869952
81,1.00220242052352e+18,marielle monkey,"Arrest of 'Thiago Macaco' is not related to the Marielle case, says delegate http: // radiovoxbrazil.com/2018/05/prisao -de-thiago-monkey-not-this-related-to-the-case-marielle-says-delegate /…",true,2018-05-31 11:57,0,0,https://twitter.com/BrazilVox/status/1002202420523520002
83,1.0021928525904486e+18,marielle monkey,"Arrest of 'Thiago Macaco' is not related to the Marielle case, says chief - http: // news.jornaltijucas.com.br/prisao-de-thia go-monkey-not-this-related-to-the-case-marielle -delegate /…",true,2018-05-31 11:19,0,0,https://twitter.com/jornalfloripa/status/1002192852590448641
87,1.001959814967292e+18,marielle monkey,"Police arrest Thiago Macaco, suspected of involvement with Jacarepaguá militia and quoted as a whistleblower in the Marielle case. # rpnm2018 pic.twitter.com/2cq6whl6cR",fake,2018-05-30 19:53,0,0,https://twitter.com/brunoestrellah/status/1001959814967291905
88,1.0019284023901266e+18,marielle monkey,"Thiago Bruno Mendonça was arrested at the Nova América shopping center on Tuesday afternoon (30). Known as Thiago Macaco, he is accused of involvement in the deaths of councilor Marielle ... http: // www. portaldolitoralpb.com.br/policia-prende -suspect-of-involvement-in-the-case-marielle /…",fake,2018-05-30 17:48,0,0,https://twitter.com/LuizClaudiopb/status/1001928402390126592
89,1.0019212030225816e+18,marielle monkey,"Suspected prisoner for the death of Marielle Franco, better known as Thiago Macaco "", you can now remove the argument that Marielle died for being black pic.twitter.com/trkRVwWZjh""",fake,2018-05-30 17:20,1,7,https://twitter.com/BrasileirosFirs/status/1001921203022581760
90,1.00192046093269e+18,marielle monkey,"Thiago Macaque, suspected of being involved in the execution of Marielle Franco, was arrested at the Nova América mall.",fake,2018-05-30 17:17,0,0,https://twitter.com/Alfredo_Carlos1/status/1001920460932689922
95,1.0019009983346033e+18,marielle monkey,"Two months later ... a man known as Thiago Macaco (33) was arrested yesterday in Rio. He is suspected of involvement in the murder of city councilor Marielle / PSOL, but was arrested for the death of Carlos Alexandre Pereira, the Head, a collaborator with councilor Marcello Siciliano / (PHS).",fake,2018-05-30 15:59,3,3,https://twitter.com/BohnGass/status/1001900998334603265
157,1.123600460869456e+18,dilma pablo escobar,"The photo, in fact, does not show @dilmabr and neither does Pablo Escobar, but Miguel Ángel Zuvic and his wife, Ema. Zuvic is the father of Argentine politics @MarianaZuvic. The other 2 adults in the photo are in fact Néstor and Cristina Kirchner. Check it out at: http: // bit.ly/2DHfdRd. pic.twitter.com/lszQYK89jb",true,2019-05-01 11:50,22,53,https://twitter.com/agencialupa/status/1123600460869455878
161,1.1233156237764076e+18,dilma pablo escobar,"Estadão: Old photo is used to claim false meeting between Kirchner couple, Dilma and Pablo Escobar. Right-wing appeals reach levels of perversity. #Venezuela https: // politica.estadao.com.br/blogs/estadao- checks / old-photo-and-used-to-claim-false-reunion-between-couple-kirchner-dilma-and-pablo-escobar / … Via @GoogleNews",true,2019-04-30 16:58,4,3,https://twitter.com/patativaparana/status/1123315623776407552
164,1.1231903032325448e+18,dilma pablo escobar,"Old photo montage puts couple Kirchner, Dilma and Pablo Escobar in false meeting - O Popular http: // bit.ly/2Wkiu0l",true,2019-04-30 8:40,3,5,https://twitter.com/CiroGomesNews/status/1123190303232544768
168,1.1229688099613368e+18,dilma pablo escobar,"The image with a false message still says that former Argentine presidents Néstor and Cristina Kirchner would be in the photo. Peronist politicians are in fact in the photo, but Dilma and Pablo Escobar are not.",true,2019-04-29 18:00,0,1,https://twitter.com/GaudTorquato/status/1122968809961336834
169,1.12296877206161e+18,dilma pablo escobar,An old rumor alleging that former President Dilma Rousseff appears in a photo with Pablo Escobar has returned to circulate on Facebook. It is not true that the PT was posing alongside the famous Colombian drug dealer.,true,2019-04-29 17:59,0,2,https://twitter.com/GaudTorquato/status/1122968772061609984
215,1.0148914783327068e+18,dilma pablo escobar,Seriously sharing that photo again ??? The one they say is Dilma's with Pablo Escobar !!! Kd the fucking block for Fake News and its Facebook spreaders? In a few days these lies will cause someone to die by mistake.,true,2018-07-05 12:19,0,1,https://twitter.com/sennaricarte/status/1014891478332706816
264,8.739339354027252e+17,dilma pablo escobar,"I never forget that photo of Dilma, Pablo Escobar and Kirchner",fake,2017-06-11 13:04,0,0,https://twitter.com/bichosrevolucao/status/873933935402725376
294,7.731113157160141e+17,dilma pablo escobar,"And this picture of Dilma with Pablo Escobar, but wait ... it's not Dilma and the guy is not Pablo Escobar. The guys spread everything.",true,2016-09-06 7:51,1,0,https://twitter.com/GeaneVenturin/status/773111315716014081
333,7.271369569420001e+17,dilma pablo escobar,Dilma has always been very well accompanied. I think Pablo Escobar learned to be a mobster with her. pic.twitter.com/iMn74Td0FI,fake,2016-05-02 11:05,0,0,https://twitter.com/catoleeiro/status/727136956942000128
334,7.246408892981002e+17,dilma pablo escobar,"The ~ photo of Dilma with Pablo Escobar ~ is an evolution compared to that with Hitley, at least they were alive at the same time",true,2016-04-25 13:47,0,2,https://twitter.com/JOHN_TRANE/status/724640889298100225
739,1.1242667631836448e+18,thursday,"In the Bolsonaro government. Lunch at the Plateau, it is at the bandejão. The spree of the PT era is over, of having a chef with a French menu. Those who prepare the food are military stewards, this means zero cost of labor. The images speak for themselves. pic.twitter.com/W7vUhBu3Iv",fake,2019-05-03 7:57,0,0,https://twitter.com/ritaapleal1/status/1124266763183644672
766,1.1236800649426164e+18,thursday,"LUNCH ON THE PLANALTO is now on the bandejão, the PT era binge is over, having a chef with a French menu. Those who prepare the food are military stewards, this means zero cost of labor. The images speak for themselves. VIVA BRASIL UNDER NEW DIRECTIVE VIVA BOLSONARO pic.twitter.com/kCzBSie53c",fake,2019-05-01 17:06,37,114,https://twitter.com/Pekena136/status/1123680064942616576
781,1.1233869521815348e+18,thursday,"No more hiring French chefs to prepare the menu. Lunch at the Plateau is now at the bandejão. Those who prepare the food are military stewards, that means ZERO COST of labor. The images speak for themselves, President Bolsonaro sets an example. #MudaBrasil pic.twitter.com/jwHrLvtjyp",fake,2019-04-30 21:41,2,6,https://twitter.com/marcojudsson/status/1123386952181534721
810,1.1230248147956244e+18,thursday,"In the Bolsonaro government, lunch in the Plateau is on the same plateau! The frenzy of the PT era of having a French menu is over https: // www. facebook.com/Poetaminas/pos ts / 2407845875913669…",fake,2019-04-29 21:42,0,0,https://twitter.com/PoetaminasBH/status/1123024814795624449
852,1.1220859964793568e+18,thursday,"Salad, barbecue and french fries: Bolsonaro's lunch at the Plateau plateau https: // glo.bo/2IJFN0q",true,2019-04-27 7:32,0,0,https://twitter.com/ArraisJi/status/1122085996479356928
862,1.1219879486044608e+18,thursday,Bolsonaro has lunch for the first time at the Palác employees' banner ... https: // youtu.be/Y8wdBwKn1Z0 via @YouTube,true,2019-04-27 1:02,1,1,https://twitter.com/BrigidoGeraldo/status/1121987948604461057
866,1.1219659529193103e+18,thursday,Bolsonaro is the first chief executive to have lunch at the presidential banner. He promised to return to the restaurant once a month. https: // www. tvcidadenews.com.br/2019/04/bolson aro-faz-historia-ao-lunch-no.html…,true,2019-04-26 23:35,0,0,https://twitter.com/tvcidadenews/status/1121965952919310336
888,1.1218694675527598e+18,thursday,President Bolsonaro is caught eating at the plateau of Palcário do Planalto https: // aconteceagora.com.br/presidente-bol sonaro-e-spotted-eating-in-plateau-of-palace-of-the-plateau /… !!!!,true,2019-04-26 17:11,0,0,https://twitter.com/lnstagramdo/status/1121869467552759811
915,1.1218129208396184e+18,thursday,"Bolsonaro has lunch at the ""plateau"" of the Planalto Palace with ministers and advisers | Policy | G1 https: // g1.globo.com/politica/notic ia / 2019/04/25 / bolsonaro-lunch-at-plateau-of-the-palace-of-the-plateau.ghtml…",true,2019-04-26 13:26,0,1,https://twitter.com/Roncacci/status/1121812920839618560
1741,1.1154492431483535e+18,transvestite child hope,Go ahead! This leftist who called Jesus Christ a transvestite and a fag is an attraction of the #GloboLixo for the hope child. The #globolixo challenges public opinion! pic.twitter.com/Dmu4HOtWkH,fake,2019-04-08 23:59,0,0,https://twitter.com/AcesseImoveis/status/1115449243148353536
1742,1.0616169910548234e+18,transvestite child hope,"Meanwhile, this year's Criança Esperança will have a special participation from the same imbecile who called Our Lord Jesus Christ a transvestite. Gobo alone is decreeing its end. https: // www. facebook.com/1421585067/pos ts / 10213943677652339 /…",fake,2018-11-11 10:49,0,0,https://twitter.com/lfrrodrigues/status/1061616991054823424
1743,1.061418989329498e+18,transvestite child hope,"And a BIGGER asshole, what do children in need have to do with friendly electoral dispute? Yesterday I saw an idiot comment the same as the child hope because of a presenter who said that Jesus was a transvestite, now the needy will suffer because of idiots.",fake,2018-11-10 21:43,0,1,https://twitter.com/jandradehv/status/1061418989329498115
1744,1.0613078808031068e+18,transvestite child hope,if that is the case then Johnny Hooker says that Jesus is a transvestite ... proves that he is xenophobic .... and he was on the globe ... being part of the attractions of the hope child. ... and how is it?,fake,2018-11-10 14:21,0,0,https://twitter.com/ThiagoDMT1/status/1061307880803106816
1745,1.0611124173321504e+18,transvestite child hope,"Rede Globo being Rede Globo. Look at that illustrious presence in the hope child. He took the name of our Lord in vain, called him a transvestite and will still be present in one of the most millionaire campaigns on Brazilian TV for children. This is not happening! pic.twitter.com/AWGJrsMpgU",fake,2018-11-10 1:24,1,0,https://twitter.com/NilzaMartins17/status/1061112417332150272
1746,1.0608755385612042e+18,transvestite child hope,Boycott the child hope !! The idiot who cursed Jesus as a transvestite will be the show's attraction !!! #GloboLixo #RedeEsgoto #ChildrenHopeNo #ChildrenRoubança,fake,2018-11-09 9:43,0,0,https://twitter.com/FlviaLima20/status/1060875538561204224
1747,1.0608730816847176e+18,transvestite child hope,"great @lobaoeletrico !! It has nothing to do with your twitter, but I just need to suggest pulling the hastag # Criançaesperançanão or # Criançaçaroubança !!! That thing that called Jesus the transvestite will be the attraction of the child hope !!! And the assholes donating !!!! Let's boycott !!!!",fake,2018-11-09 9:33,0,0,https://twitter.com/FlviaLima20/status/1060873081684717568
1748,1.0608342201957007e+18,transvestite child hope,JESUS CALLED A TRAVESTI AND IT WILL BE ATTRACTION IN THE CHILD HOPE OF THE WASTE GLIBE! https: // www. facebook.com/1350185211/pos ts / 10212222655385478 /…,fake,2018-11-09 6:59,1,2,https://twitter.com/DeboraBergman3/status/1060834220195700736
1749,1.0348300227402464e+18,transvestite child hope,"Using ""Cristo ñ is right on any occasion It's really cool to call Jesus a transvestite, like the @ @ that was on Criança Esperança? Obs .: Jesus gave literal whips to the temple vendors, he wasn't very peaceful on this occasion. Tip: No persecution without martyr / hero """,fake,2018-08-29 12:47,0,0,https://twitter.com/VanshesckY/status/1034830022740246528
1764,1.032078736345256e+18,transvestite child hope,"This is if you do not disrespect the religion of others and call Jesus a transvestite. Then, go to the child hope to ask for money ....",fake,2018-08-21 22:35,0,0,https://twitter.com/GiancarloGuima/status/1032078736345255936
1765,1.0320294430726348e+18,transvestite child hope,"After calling Jesus a transvestite, Johnny Hooker sings at Criança Esperança https: // noticias.gospelprime.com.br/johnny-hooker- child-hope-all-form-of-love /…",fake,2018-08-21 19:19,0,0,https://twitter.com/hamiltonsi/status/1032029443072634881
1781,1.0313765533834732e+18,transvestite child hope,"The tag Criança Esperança was first in Tt but there were only people against this crap they are doing, actress and actors q support abortion asking for money, singer q called Jesus a transvestite, q Twitter dropped the tag.",fake,2018-08-20 0:05,2,15,https://twitter.com/elisangelaqueli/status/1031376553383473153
1783,1.0312743564193176e+18,transvestite child hope,VC THAT SAYS CHRISTIAN AND IS THINKING TO DONATE MONEY TO THAT ISSUER WASTE REMEMBER THE CREATURE THAT CALLED JESUS CHRIST IN TRANSVESTI IS ONE OF THE CHILDREN'S HOPE ATTRACTIONS.,fake,2018-08-19 17:19,0,0,https://twitter.com/AllanDo55600506/status/1031274356419317766
1785,1.031019060505596e+18,transvestite child hope,Garbage globe. Johnny Hooker put hope in the child who called Jesus a transvestite. #Child Hope,fake,2018-08-19 0:24,1,2,https://twitter.com/Dianamocap/status/1031019060505595905
1789,1.0310046343479092e+18,transvestite child hope,Child Hope or hope sealing? Do not mess your name with this gang that calls Jesus a transvestite !! #NaoDoeCriancaEsperanca,fake,2018-08-18 23:27,0,1,https://twitter.com/aturaaverdade1/status/1031004634347909120
1792,1.0310013710871224e+18,transvestite child hope,"Wow, the guy says Jesus is a transvestite and gay yes. Where is he ? At Globo in Child Hope",fake,2018-08-18 23:14,0,0,https://twitter.com/dimascantor/status/1031001371087122432
1794,1.0310012068759756e+18,transvestite child hope,"FUCKING YOU SO JOKE NE? HOW DOES A BITCH CHILD, WHO CALLED JESUS A TRAVESTI ON A NATIONAL NETWORK? WHAT A DISRESPECT TO THE BRAZILIAN FAMILY! USE THE NAME OF CHILD HOPE ""PRAY FOR A TRASH OF THEM IN THE AIR! HOW DISGUSTING! # Criançaesperança""",fake,2018-08-18 23:13,4,15,https://twitter.com/SantosCopeiro/status/1031001206875975680
1805,1.0291631934264768e+18,transvestite child hope,"Just to remind you that the retarded jhonny hooker (who called Jesus a fag and a transvestite) will participate in the hope child. Just to remember to weigh in the decision of how much to donate, if you donate at all.",fake,2018-08-13 21:30,0,3,https://twitter.com/Brunorohb/status/1029163193426477062
1806,1.0284852860771246e+18,transvestite child hope,"THE SINGER Johnny Hooker - PROSTITUTE IN ENGLISH, WHO CALLED JESUS OF TRANSVESTI, WILL BE IN CHILD HOPE! . . #tv #presenter # child #journalism #information #journalist… https: // www. instagram.com/p/BmXRa2fhk-n/? utm_source = ig_twitter_share & igshid = 3p68iiyc1h2a ...",fake,2018-08-12 0:36,0,0,https://twitter.com/LILIANEVENTURA/status/1028485286077124608
1809,1.0266084509130874e+18,transvestite child hope,Criança Esperança will be presented by the transformer who equated Jesus to transvestite http: // www. conservadorismodobrasil.com.br/2018/08/crianc a-esperanca-tera-presentation-do-transformaista-que-even-jesus-a-travesti.html…,fake,2018-08-06 20:18,0,0,https://twitter.com/ExpressoDiario/status/1026608450913087489
1810,1.0266006096031168e+18,transvestite child hope,"This CARNIÇA called JESUS a transvestite. It will be at Criança Esperança "". WRONG! MISERABLE and IMMACHUMBLE. You will burn in the sulfur and fire of the insect hell. Pic.twitter.com/xsKpwA4GjW""",fake,2018-08-06 19:47,1,3,https://twitter.com/CMackalister/status/1026600609603117056
1814,1.0264410174683505e+18,transvestite child hope,ATTENTION ! the idiot who called Jesus a travesty fag will participate in Globo's Criança Esperança Say NO to the hope child DON'T DONATE. Disclose to all your contacts below details! SHARE pic.twitter.com/NvAd4jVsEb,fake,2018-08-06 9:13,0,0,https://twitter.com/DamiaoDiana/status/1026441017468350464
1817,1.0260752764118548e+18,transvestite child hope,"I just learned that the gayzista garbage that called Jesus TRAVESTI won a UN award and was invited to perform at Criança Esperança da Globo. Nice, right? pic.twitter.com/T2wsa6X0nY",fake,2018-08-05 8:59,0,6,https://twitter.com/Julio26Nba/status/1026075276411854849
1818,1.0257868880561848e+18,transvestite child hope,"Money that Globo then deducts from the income tax. They are also publicizing that that bastard Johnny Hooker who called Jesus a fag and a transvestite will perform at Criança Esperança ""or so hiding?""",fake,2018-08-04 13:53,0,0,https://twitter.com/senorseb/status/1025786888056184834
1819,1.0253530527216968e+18,transvestite child hope,"@Crian_Esperanca Singer who stated that Jesus is a transvestite and ""fag"" is denounced at the Federal Public Ministry https: // www. jmnoticia.com.br/2018/07/31/can tor-que-stated-que-jesus-e-travesti-e-bicha-e-denunciado-no-ministerio-Público-Federal /… via @jmnoticia - So it is this is the artist who will participate in Criança Esperança """"",fake,2018-08-03 9:09,1,1,https://twitter.com/AyresCunha/status/1025353052721696769
1824,1.0249089192049786e+18,transvestite child hope,"What about Christians who will donate hope of the globe to the child ... Even after that little singer says that JESUS is a transvestite, that JESUS is a fag ...",fake,2018-08-02 3:45,0,0,https://twitter.com/WilsonAllam/status/1024908919204978688
1848,1.0244560781956504e+18,transvestite child hope,LOOK AT THE SHIT that Globo will promote !!!! - Singer who called Jesus a transvestite will perform at Criança Esperança https: // noticias.gospelprime.com.br/johnny-hooker- jesus-travesti-Criança-Esperanca /…,fake,2018-07-31 21:45,3,2,https://twitter.com/Leeitsmee/status/1024456078195650560
2140,1.090009142566285e+18,Venezuelan Cuban Terrorist Brumadinho,ABIN issued a note denying that the Brumadinho disaster was a terrorist attack by 1 Cuban and 1 Venezuelan. Beast people,true,2019-01-28 19:10,0,1,https://twitter.com/ericksc/status/1090009142566285320
2141,1.0899828219161354e+18,Venezuelan Cuban Terrorist Brumadinho,"it was necessary for abin to pronounce itself on fake news where it claimed that the brumadinho tragedy was due to a Cuban / Venezuelan terrorist attack the Brazilian is living in a parallel reality among the three too many spies, you know?",true,2019-01-28 17:25,0,1,https://twitter.com/jadsonlv/status/1089982821916135430
2144,1.0899454376694129e+18,Venezuelan Cuban Terrorist Brumadinho,RECHACE THE LIE: ABOUT FAKE NEW RELATED TO BRUMADINHO About the fake new distributed by the extreme right on social networks that attributes to a Venezuelan and an imaginary Cuban a terrorist explosion that would have generated the tragedy at the Brumadinho dam. pic.twitter.com/kyvPDxHosm,true,2019-01-28 14:56,15,36,https://twitter.com/CDCCorinthians/status/1089945437669412865
2150,1.089580872209232e+18,Venezuelan Cuban Terrorist Brumadinho,"See what the minions are spreading through WhatsApp - detail: abstract the Portuguese mistakes (the guys are stupid, as well as crazy). According to this delusion, the rupture of the Brumadinho dam may have been a terrorist act - a Cuban and a Venezuelan are involved:",true,2019-01-27 14:48,0,1,https://twitter.com/lpscomunica/status/1089580872209231872
2151,1.0895774832409844e+18,Venezuelan Cuban Terrorist Brumadinho,"My cousin, who loves fake news, showed me a text on Facebook saying that the tragedy in Brumadinho was actually a terrorist attack caused by a Cuban and a Venezuelan. Lie.",true,2019-01-27 14:34,0,0,https://twitter.com/tata_mgomes/status/1089577483240984577
1002,1.112860378936107e+18,stf squid except conduit,@CarlosBolsonaro It is URGENT that we anticipate going to the streets before April 7th! The Supreme Court decided to give Lula a safe conduit on April 4th. And it will be FREE! Let's go on April 3rd !!!!!,fake,2019-04-01 20:32,0,0,https://twitter.com/Jane_GRodrigues/status/1112860378936107008
1006,1.1123921954604768e+18,stf squid except conduit,"https: // www. rumors.org/politica/stf-s target-conduto-lula-solto.html… NEWS FROM SALVO CONDUITO DE LULA IS FAKE. HELP TO DISPUTE. They are using the rumor to incite hatred to the Supreme Court that will play HABEAS CORPUS DE LULA on MARCH 4, THURSDAY pic.twitter.com/X0fCRRiJzk",true,2019-03-31 13:32,1,1,https://twitter.com/mlcescato/status/1112392195460476929
1013,1.1120034328172832e+18,stf squid except conduit,"How absurd!!! Minister Cármen Lúcia, of the Supreme Federal Court (STF), sent lawyer José Roberto Batochio the ex-president Lula's safe-conduct. The document authorizes the PT to travel and transit freely. https: // politica.estadao.com.br/blogs/fausto-m acedo / salvo-conduto-de-luiz-inacio-lula-da-silva /…",fake,2019-03-30 11:47,3,6,https://twitter.com/bbthcruz/status/1112003432817283074
1014,1.111977628100186e+18,stf squid except conduit,Lula receives the STF safe conduct. #STFVergonhaNacional The condemned place is in jail. Go ahead! pic.twitter.com/leozjWC8sw,fake,2019-03-30 10:05,2,2,https://twitter.com/lapoderosa1360/status/1111977628100186112
1018,1.1117107257629368e+18,stf squid except conduit,"@STF _oficial, Salvo Conduto para Lula? You leftist dictators, you are the shame of Brazil and will fall #STFVegonhaNacional",fake,2019-03-29 16:24,0,1,https://twitter.com/RenataLunardi1/status/1111710725762936833
